"Fast","Slow","Summary","EarlyStop"
"30","89","m15_t21000_f30_s89_l5 SUMMARY MinQuarterNet=-26,005.00 AvgQuarterNet=-789.50 PassAll12=False","m15_t21000_f30_s89_l5 EARLY_STOP Quarter=2023Q2 Net=-26,005.00 <= StopIfQuarterNetLe=21,000.00"
"30","100","","m15_t21000_f30_s100_l5 EARLY_STOP Quarter=2023Q1 Net=12,039.00 <= StopIfQuarterNetLe=21,000.00"
"30","120","m15_t21000_f30_s120_l5 SUMMARY MinQuarterNet=-25,656.00 AvgQuarterNet=21,998.00 PassAll12=False","m15_t21000_f30_s120_l5 EARLY_STOP Quarter=2023Q2 Net=-25,656.00 <= StopIfQuarterNetLe=21,000.00"
"30","144","m15_t21000_f30_s144_l5 SUMMARY MinQuarterNet=-24,915.00 AvgQuarterNet=16,559.00 PassAll12=False","m15_t21000_f30_s144_l5 EARLY_STOP Quarter=2023Q2 Net=-24,915.00 <= StopIfQuarterNetLe=21,000.00"
"30","150","m15_t21000_f30_s150_l5 SUMMARY MinQuarterNet=-24,845.00 AvgQuarterNet=13,390.00 PassAll12=False","m15_t21000_f30_s150_l5 EARLY_STOP Quarter=2023Q2 Net=-24,845.00 <= StopIfQuarterNetLe=21,000.00"
"34","40","","m15_t21000_f34_s40_l5 EARLY_STOP Quarter=2023Q1 Net=-24,311.00 <= StopIfQuarterNetLe=21,000.00"
"34","50","","m15_t21000_f34_s50_l5 EARLY_STOP Quarter=2023Q1 Net=17,175.00 <= StopIfQuarterNetLe=21,000.00"
"34","60","m15_t21000_f34_s60_l5 SUMMARY MinQuarterNet=-21,617.00 AvgQuarterNet=3,436.50 PassAll12=False","m15_t21000_f34_s60_l5 EARLY_STOP Quarter=2023Q2 Net=-21,617.00 <= StopIfQuarterNetLe=21,000.00"
"34","75","m15_t21000_f34_s75_l5 SUMMARY MinQuarterNet=-25,095.00 AvgQuarterNet=3,231.00 PassAll12=False","m15_t21000_f34_s75_l5 EARLY_STOP Quarter=2023Q2 Net=-25,095.00 <= StopIfQuarterNetLe=21,000.00"
"34","89","","m15_t21000_f34_s89_l5 EARLY_STOP Quarter=2023Q1 Net=13,434.00 <= StopIfQuarterNetLe=21,000.00"
"34","100","","m15_t21000_f34_s100_l5 EARLY_STOP Quarter=2023Q1 Net=9,001.00 <= StopIfQuarterNetLe=21,000.00"
"34","120","m15_t21000_f34_s120_l5 SUMMARY MinQuarterNet=-25,520.00 AvgQuarterNet=21,916.00 PassAll12=False","m15_t21000_f34_s120_l5 EARLY_STOP Quarter=2023Q2 Net=-25,520.00 <= StopIfQuarterNetLe=21,000.00"
"34","144","m15_t21000_f34_s144_l5 SUMMARY MinQuarterNet=-26,360.00 AvgQuarterNet=14,005.00 PassAll12=False","m15_t21000_f34_s144_l5 EARLY_STOP Quarter=2023Q2 Net=-26,360.00 <= StopIfQuarterNetLe=21,000.00"
"34","150","m15_t21000_f34_s150_l5 SUMMARY MinQuarterNet=-25,097.00 AvgQuarterNet=12,024.00 PassAll12=False","m15_t21000_f34_s150_l5 EARLY_STOP Quarter=2023Q2 Net=-25,097.00 <= StopIfQuarterNetLe=21,000.00"
"40","50","m15_t21000_f40_s50_l5 SUMMARY MinQuarterNet=-20,137.00 AvgQuarterNet=2,304.00 PassAll12=False","m15_t21000_f40_s50_l5 EARLY_STOP Quarter=2023Q2 Net=-20,137.00 <= StopIfQuarterNetLe=21,000.00"
"40","60","m15_t21000_f40_s60_l5 SUMMARY MinQuarterNet=-27,323.00 AvgQuarterNet=-1,611.00 PassAll12=False","m15_t21000_f40_s60_l5 EARLY_STOP Quarter=2023Q2 Net=-27,323.00 <= StopIfQuarterNetLe=21,000.00"
"40","75","m15_t21000_f40_s75_l5 SUMMARY MinQuarterNet=-25,927.00 AvgQuarterNet=-2,245.00 PassAll12=False","m15_t21000_f40_s75_l5 EARLY_STOP Quarter=2023Q2 Net=-25,927.00 <= StopIfQuarterNetLe=21,000.00"
"40","89","","m15_t21000_f40_s89_l5 EARLY_STOP Quarter=2023Q1 Net=7,326.00 <= StopIfQuarterNetLe=21,000.00"
"40","100","","m15_t21000_f40_s100_l5 EARLY_STOP Quarter=2023Q1 Net=9,559.00 <= StopIfQuarterNetLe=21,000.00"
"40","120","m15_t21000_f40_s120_l5 SUMMARY MinQuarterNet=-27,462.00 AvgQuarterNet=14,618.00 PassAll12=False","m15_t21000_f40_s120_l5 EARLY_STOP Quarter=2023Q2 Net=-27,462.00 <= StopIfQuarterNetLe=21,000.00"
"40","144","m15_t21000_f40_s144_l5 SUMMARY MinQuarterNet=-25,097.00 AvgQuarterNet=18,940.00 PassAll12=False","m15_t21000_f40_s144_l5 EARLY_STOP Quarter=2023Q2 Net=-25,097.00 <= StopIfQuarterNetLe=21,000.00"
"40","150","m15_t21000_f40_s150_l5 SUMMARY MinQuarterNet=-24,902.00 AvgQuarterNet=13,207.50 PassAll12=False","m15_t21000_f40_s150_l5 EARLY_STOP Quarter=2023Q2 Net=-24,902.00 <= StopIfQuarterNetLe=21,000.00"
"50","60","","m15_t21000_f50_s60_l5 EARLY_STOP Quarter=2023Q1 Net=18,607.00 <= StopIfQuarterNetLe=21,000.00"
"50","75","","m15_t21000_f50_s75_l5 EARLY_STOP Quarter=2023Q1 Net=20,651.00 <= StopIfQuarterNetLe=21,000.00"
"50","89","","m15_t21000_f50_s89_l5 EARLY_STOP Quarter=2023Q1 Net=-25,387.00 <= StopIfQuarterNetLe=21,000.00"
"50","100","m15_t21000_f50_s100_l5 SUMMARY MinQuarterNet=-29,735.00 AvgQuarterNet=16,696.50 PassAll12=False","m15_t21000_f50_s100_l5 EARLY_STOP Quarter=2023Q2 Net=-29,735.00 <= StopIfQuarterNetLe=21,000.00"
"50","120","m15_t21000_f50_s120_l5 SUMMARY MinQuarterNet=-24,762.00 AvgQuarterNet=16,904.00 PassAll12=False","m15_t21000_f50_s120_l5 EARLY_STOP Quarter=2023Q2 Net=-24,762.00 <= StopIfQuarterNetLe=21,000.00"
"50","144","m15_t21000_f50_s144_l5 SUMMARY MinQuarterNet=-29,416.00 AvgQuarterNet=14,150.00 PassAll12=False","m15_t21000_f50_s144_l5 EARLY_STOP Quarter=2023Q2 Net=-29,416.00 <= StopIfQuarterNetLe=21,000.00"
"50","150","m15_t21000_f50_s150_l5 SUMMARY MinQuarterNet=-24,804.00 AvgQuarterNet=17,766.00 PassAll12=False","m15_t21000_f50_s150_l5 EARLY_STOP Quarter=2023Q2 Net=-24,804.00 <= StopIfQuarterNetLe=21,000.00"
"55","60","","m15_t21000_f55_s60_l5 EARLY_STOP Quarter=2023Q1 Net=20,577.00 <= StopIfQuarterNetLe=21,000.00"
"55","75","","m15_t21000_f55_s75_l5 EARLY_STOP Quarter=2023Q1 Net=12,691.00 <= StopIfQuarterNetLe=21,000.00"
"55","89","","m15_t21000_f55_s89_l5 EARLY_STOP Quarter=2023Q1 Net=-24,780.00 <= StopIfQuarterNetLe=21,000.00"
"55","100","m15_t21000_f55_s100_l5 SUMMARY MinQuarterNet=-25,287.00 AvgQuarterNet=19,483.00 PassAll12=False","m15_t21000_f55_s100_l5 EARLY_STOP Quarter=2023Q2 Net=-25,287.00 <= StopIfQuarterNetLe=21,000.00"
"55","120","m15_t21000_f55_s120_l5 SUMMARY MinQuarterNet=-27,222.00 AvgQuarterNet=12,237.50 PassAll12=False","m15_t21000_f55_s120_l5 EARLY_STOP Quarter=2023Q2 Net=-27,222.00 <= StopIfQuarterNetLe=21,000.00"
"55","144","m15_t21000_f55_s144_l5 SUMMARY MinQuarterNet=-28,241.00 AvgQuarterNet=16,352.50 PassAll12=False","m15_t21000_f55_s144_l5 EARLY_STOP Quarter=2023Q2 Net=-28,241.00 <= StopIfQuarterNetLe=21,000.00"
"55","150","m15_t21000_f55_s150_l5 SUMMARY MinQuarterNet=-28,416.00 AvgQuarterNet=12,255.00 PassAll12=False","m15_t21000_f55_s150_l5 EARLY_STOP Quarter=2023Q2 Net=-28,416.00 <= StopIfQuarterNetLe=21,000.00"
