"FastEma","SlowEma","LotSize","QuartersTested","MinQuarterNet","AvgQuarterNet","MeetsAll12"
"25","60","5","1","-999999","-999999","False"
"25","60","4","1","-999999","-999999","False"
"25","75","1.5","1","-999999","-999999","False"
"25","75","1","1","-999999","-999999","False"
"25","50","1.5","1","-999999","-999999","False"
"25","30","2","1","-999999","-999999","False"
"25","30","1.5","1","-999999","-999999","False"
"25","30","4","1","-999999","-999999","False"
"25","30","3","1","-999999","-999999","False"
"20","150","4","1","-999999","-999999","False"
"20","150","3","1","-999999","-999999","False"
"25","30","1","1","-999999","-999999","False"
"20","150","5","1","-999999","-999999","False"
"25","40","4","1","-999999","-999999","False"
"25","40","3","1","-999999","-999999","False"
"25","50","1","1","-999999","-999999","False"
"25","40","5","1","-999999","-999999","False"
"25","40","1","1","-999999","-999999","False"
"25","30","5","1","-999999","-999999","False"
"25","40","2","1","-999999","-999999","False"
"25","40","1.5","1","-999999","-999999","False"
"20","60","4","1","-999999","-999999","False"
"15","100","1.5","1","-999999","-999999","False"
"15","100","1","1","-999999","-999999","False"
"15","100","3","1","-999999","-999999","False"
"15","100","2","1","-999999","-999999","False"
"15","89","3","1","-999999","-999999","False"
"15","89","2","1","-999999","-999999","False"
"15","89","5","1","-999999","-999999","False"
"15","89","4","1","-999999","-999999","False"
"15","120","3","1","-999999","-999999","False"
"15","120","2","1","-999999","-999999","False"
"15","120","5","1","-999999","-999999","False"
"15","120","4","1","-999999","-999999","False"
"15","100","5","1","-999999","-999999","False"
"15","100","4","1","-999999","-999999","False"
"15","120","1.5","1","-999999","-999999","False"
"15","120","1","1","-999999","-999999","False"
"15","89","1.5","1","-999999","-999999","False"
"15","60","2","1","-999999","-999999","False"
"15","60","1.5","1","-999999","-999999","False"
"15","60","4","1","-999999","-999999","False"
"15","60","3","1","-999999","-999999","False"
"15","50","4","1","-999999","-999999","False"
"15","50","3","1","-999999","-999999","False"
"15","60","1","1","-999999","-999999","False"
"15","50","5","1","-999999","-999999","False"
"15","75","4","1","-999999","-999999","False"
"15","75","3","1","-999999","-999999","False"
"15","89","1","1","-999999","-999999","False"
"15","75","5","1","-999999","-999999","False"
"15","75","1","1","-999999","-999999","False"
"15","60","5","1","-999999","-999999","False"
"15","75","2","1","-999999","-999999","False"
"15","75","1.5","1","-999999","-999999","False"
"15","144","1","1","-999999","-999999","False"
"20","40","5","1","-999999","-999999","False"
"20","40","4","1","-999999","-999999","False"
"20","50","1.5","1","-999999","-999999","False"
"20","50","1","1","-999999","-999999","False"
"20","40","1.5","1","-999999","-999999","False"
"20","40","1","1","-999999","-999999","False"
"20","40","3","1","-999999","-999999","False"
"20","40","2","1","-999999","-999999","False"
"20","60","1.5","1","-999999","-999999","False"
"20","60","1","1","-999999","-999999","False"
"20","60","3","1","-999999","-999999","False"
"20","60","2","1","-999999","-999999","False"
"20","50","3","1","-999999","-999999","False"
"20","50","2","1","-999999","-999999","False"
"20","50","5","1","-999999","-999999","False"
"20","50","4","1","-999999","-999999","False"
"20","30","5","1","-999999","-999999","False"
"15","150","1","1","-999999","-999999","False"
"15","144","5","1","-999999","-999999","False"
"15","150","2","1","-999999","-999999","False"
"15","150","1.5","1","-999999","-999999","False"
"15","144","2","1","-999999","-999999","False"
"15","144","1.5","1","-999999","-999999","False"
"15","144","4","1","-999999","-999999","False"
"15","144","3","1","-999999","-999999","False"
"20","30","2","1","-999999","-999999","False"
"20","30","1.5","1","-999999","-999999","False"
"20","30","4","1","-999999","-999999","False"
"20","30","3","1","-999999","-999999","False"
"15","150","4","1","-999999","-999999","False"
"15","150","3","1","-999999","-999999","False"
"20","30","1","1","-999999","-999999","False"
"15","150","5","1","-999999","-999999","False"
